label,entity
comic_name,Aventures de Tintín
comic_name,Càlico Electrònic
comic_name,Superlópez
comic_name,Asterix i Obelix
comic_name,Els Secrets del Taller
film_genre,dibuixos animats
film_genre,cinema de llocs remots
film_genre,cinema abstracte
film_genre,cinema d'homes llop
film_genre,neo-noir
film_genre,pel*licula d'accio i aventures
film_genre,entreteniment educatiu
film_genre,pel*licula basada en un conte de fades
film_genre,Free Cinema
film_genre,destape
film_genre,cinema partisa
film_genre,pel*licula basada en una obra literaria
film_genre,cinema de ciencia-ficcio de terror
film_genre,Kannywood
film_genre,cinema de comedia de terror
film_genre,cinema de drama policiac
film_genre,cinema de futbol america
film_genre,buddy film femeni
film_genre,cinema de thriller politic
film_genre,hood film
film_genre,pel*licula basada en una novel*la
film_genre,cinema wuxia
film_genre,cinema per a adolescents
film_genre,documental sobre natura
film_genre,cinema de justiciers
film_genre,Cinema amateur
film_genre,spaghetti western
film_genre,pel*licula amb mescla d'animacio i d'imatge real
film_genre,cinema mediambiental
film_genre,Videoassaig
film_genre,cinema sobre jocs d'aposta
film_genre,cinema transgenere
film_genre,Cinema quinqui
film_genre,pel*licula de parodia
film_genre,cinema LGBT
film_genre,rockumentary
film_genre,pornografia animada
film_genre,cinema d'arts marcials
film_genre,comedia social
film_genre,fanfilm
film_genre,pel*licula de ficcio
film_genre,Snuff movie
film_genre,cinema judicial
film_genre,Cinema collage
film_genre,cinema de capa i espasa
film_genre,drama
film_genre,cinema gotic
film_genre,pel*licula d'animacio anime
film_genre,cinema de terror
film_genre,cinema de ficcio especulativa
film_genre,assaig cinematografic
film_genre,cinema pornografic
film_genre,cinema de vampirs
film_genre,pel*licula d'accio comica
film_genre,road movie
film_genre,Cinema social
film_genre,docudrama
film_genre,pel*licula d'animacio de pastilina
film_genre,cinema legal
film_genre,cinema de zombis
film_genre,cinema bel*lic
film_genre,pel*licula basada en fets reals
film_genre,videoblog
film_genre,Muk-bang
film_genre,cinema d'aventures
film_genre,Tokusatsu
film_genre,cinema nadalenc
film_genre,pel*licula de no-ficcio
film_genre,pel*licula de submarins
film_genre,cinema biografic d'esports
film_genre,cinema de Halloween
film_genre,pel*licula basada en un llibre
film_genre,chick flick
film_genre,cinema d'espionatge
film_genre,film antibel*lic
film_genre,cinema de terror de cossos
film_genre,pel*licula comica
