label,entity
comic_name,Valhalla
comic_name,Asterix og Obelix
comic_name,Tintins oplevelser
comic_name,Rasmus Klump
comic_name,Lucky Luke
film_genre,komedie med intriger
film_genre,Amerikansk fodbold-film
film_genre,Ninjafilm
film_genre,erotisk film
film_genre,skattejagtfilm
film_genre,swashbuckler film
film_genre,neo-noir
film_genre,Screwball comedy
film_genre,Kannibalfilm
film_genre,politisk thrillerfilm
film_genre,beach party-film
film_genre,ungdomsfilm
film_genre,retssagsfilm
film_genre,operettefilm
film_genre,ugerevy
film_genre,psykologisk thrillerfilm
film_genre,backwoods-film
film_genre,tegnefilm
film_genre,thrillerfilm
film_genre,Anti-krigsfilm
film_genre,film baseret pa virkelige begivenheder
film_genre,biografisk drama
film_genre,voksenanimation
film_genre,forerrumsfilm
film_genre,kortfilm
film_genre,stumfilm
film_genre,forviklingskomedie
film_genre,kunstfilm
film_genre,actionfilm
film_genre,vampyrfilm
film_genre,rockumentary
film_genre,dystopisk film
film_genre,eksperimentalfilm
film_genre,gotisk gyserfilm
film_genre,triathlonfilm
film_genre,krigsdrama
film_genre,monsterfilm
film_genre,krigsfilm
film_genre,piratfilm
film_genre,fantasmagoria
film_genre,road movie
film_genre,sort komedie-film
film_genre,biografisk film
film_genre,Z-film
film_genre,gotisk film
film_genre,gyserfilm
film_genre,peplum film
film_genre,satanisk film
film_genre,Nunsploitation
film_genre,fodboldfilm
film_genre,trikfilm
film_genre,modulervoksfilm
film_genre,videoblog
film_genre,psykidelisk film
film_genre,Nazisploitation
film_genre,Film baseret pa litteratur
film_genre,Spaghettiwestern
film_genre,koncertfilm
film_genre,steampunk-film
film_genre,sportsfilm
film_genre,Metafilm
film_genre,filmparodi
film_genre,Eastern
film_genre,body horror-film
film_genre,mafia-film
film_genre,Bollywood
film_genre,zombie komedie
film_genre,Mo lei tau
film_genre,buddy cop film
film_genre,found footage
film_genre,Kung Fu-film
film_genre,Westernfilm
film_genre,film baseret pa romaner
film_genre,transkonsfilm
film_genre,bornefilm
film_genre,Brickfilm
film_genre,spogelsesfilm
film_genre,overlevelsesfilm
film_genre,fiktionsfilm
film_genre,vigilante-film
film_genre,Heimatfilm
film_genre,anime
film_genre,buddyfilm
film_genre,politisk film
film_genre,sexploitation-film
film_genre,wuxia-film
film_genre,kampsportsfilm
film_genre,dodsporno
film_genre,amatorfilm
