label,entity
ad_keyword,para cegos
ad_keyword,deficientes visuais
ad_keyword,para os cegos
ad_keyword,deficiente visual
ad_keyword,audiodescrição
comic_name,Mafalda
comic_name,Tintim
comic_name,Asterix e Obelix
comic_name,Turma da Mônica
comic_name,Asterix e Cleópatra
soundtrack_keyword,banda sonora
soundtrack_keyword,trilha sonora
film_genre,Kammerspiel
film_genre,filme de satira
film_genre,filme coletivo
film_genre,chanbara
film_genre,filme de ficcao cientifica
film_genre,filme de terror
film_genre,filme animado em live-action
film_genre,making-of
film_genre,Cinema erotico
film_genre,Masala
film_genre,cinema western
film_genre,filme amador
film_genre,cinema de epoca
film_genre,filme distopico
film_genre,etnoficcao
film_genre,curta-metragem
film_genre,Filme de esportes
film_genre,filme gotico romantico
film_genre,cinema LGBT
film_genre,filme de historia alternativa
film_genre,filme gotico
film_genre,filme sobre a mafia
film_genre,filme steampunk
film_genre,comedia cinematografica
film_genre,filme de animacao tradicional
film_genre,filme de caca ao tesouro
film_genre,filme biografico
film_genre,tokusatsu
film_genre,romance
film_genre,filme sobre crimes
film_genre,docudrama
film_genre,Nunsploitation
film_genre,realismo socialista
film_genre,Mukbang
film_genre,Heimatfilme
film_genre,filme pos-apocaliptico
film_genre,Persian Film
film_genre,filme sobre assassinos em serie
film_genre,filme independente
film_genre,splatter
film_genre,Cinema stoner
film_genre,film noir
film_genre,filme de super-heroi
film_genre,cinema catastrofe
film_genre,Filme de autor
film_genre,Nazi exploitation
film_genre,Bollywood
film_genre,filme sobre lobisomens
film_genre,animacao para adultos
film_genre,filme da meia-noite
film_genre,filme de cavaleiros
film_genre,filme policial
film_genre,found footage
film_genre,comedia de acao
film_genre,espada e sandalia
film_genre,Filme rosa
film_genre,filme de humor negro
film_genre,Brickfilm
film_genre,filme de ficcao
film_genre,Pornochanchada
film_genre,docuficcao
film_genre,Slow Cinema
film_genre,cinejornal
film_genre,cine marginal
film_genre,anime
film_genre,filme religioso
film_genre,filme snuff
film_genre,Cinema marginal
film_genre,filme dramatico
film_genre,cinema marginal
film_genre,filme de anime
film_genre,filme etnografico
film_genre,Kaiju
film_genre,Girls with guns
film_genre,Filme B
film_genre,Western revisionista
film_genre,filme documental
film_genre,filme experimental
film_genre,filme sobre boxe
film_genre,comedia zumbi
film_genre,blaxploitation
film_genre,turma da Praia
film_genre,filme de misterio
film_genre,Trio Western
film_genre,Sageuk
film_genre,Video-ensaio
film_genre,Giallo
film_genre,Mockbuster
film_genre,filme de guerra
film_genre,Filme de monstro
film_genre,neo noir
film_genre,Filme-concerto
film_genre,Nollywood
film_genre,comedia maluca
film_genre,filme pornografico
film_genre,filme sobre piratas
film_genre,filme apocaliptico
film_genre,filme de acao
film_genre,Novo Cinema
film_genre,slasher
film_genre,Filme de artes marciais
film_genre,filme sobre surfe
film_genre,Draw My Life
film_genre,cinema surrealista
film_genre,Filmes com truques
film_genre,shockumentary
film_genre,chanchada
film_genre,cinema militante
film_genre,New Queer Cinema
film_genre,filme epico
film_genre,cinema directo
film_genre,filme sobre jogos de azar
film_genre,filme com submarinos
film_genre,musicarello
film_genre,western spaghetti
film_genre,Cinema psicodelico
film_genre,pseudodocumentario
film_genre,fan film
film_genre,filme de espionagem
film_genre,travelogue
film_genre,Let's Play
film_genre,pastelao
film_genre,cinema de montanha
film_genre,cinema alternativo
film_genre,Favela movie
film_genre,filme de zumbi
film_genre,thriller
film_genre,rape and revenge
film_genre,cinema de arte
film_genre,Turksploitation
film_genre,filme de assalto
film_genre,filme baseado em casos reais
film_genre,Filme de amigos
film_genre,filme infantil
film_genre,videoarte
film_genre,exploitation
film_genre,Video caseiro
film_genre,Mumblecore
film_genre,Filme de propaganda
film_genre,mocumentario
film_genre,video institucional
film_genre,cinema de guerrilha
film_genre,filme mudo
film_genre,Filme trash
film_genre,filme baseado em literatura
film_genre,filme de fantasia
film_genre,filme de estrada
film_genre,filme familiar
film_genre,videoblogue
film_genre,filme com fantasmas
film_genre,filme musical
film_genre,filme de aventura
film_genre,Bruceploitation
film_genre,filme antiguerra
film_genre,filme de animacao
film_genre,entretenimento educativo
country_name,Burkina Faso
country_name,Mongolia
country_name,Niue
country_name,Gardariki
country_name,Somalia
country_name,Chipre
country_name,Sao Vicente e Granadinas
country_name,Gana
country_name,Bulgaria
country_name,Cabo Verde
country_name,Bahamas
country_name,Cazaquistao
country_name,Ruanda
country_name,Reino dos Paises Baixos
country_name,Libia
country_name,Alemanha
country_name,Azerbaijao
country_name,Mauritania
country_name,Austria
country_name,Coreia do Sul
country_name,Eslovaquia
country_name,Inglaterra
country_name,Maldivas
country_name,Artsaque
country_name,Tajiquistao
country_name,Irlanda do Norte
country_name,Sudao
country_name,Equador
country_name,Antigua e Barbuda
country_name,Romenia
country_name,Arabia Saudita
country_name,Guine
country_name,Ilhas Salomao
country_name,Mexico
country_name,Sri Lanka
country_name,Haiti
country_name,Republica do Congo
country_name,Burundi
country_name,Bielorrussia
country_name,Filipinas
country_name,Indonesia
country_name,Nepal
country_name,Jamaica
country_name,Sao Cristovao e Neves
country_name,Timor-Leste
country_name,Kiribati
country_name,Vanuatu
country_name,Aruba
country_name,Laos
country_name,Niger
country_name,Polonia
country_name,Nova Zelandia
country_name,Uzbequistao
country_name,Camaroes
country_name,Lesoto
country_name,Botsuana
country_name,Dominica
country_name,Africa do Sul
country_name,Noruega
country_name,Lituania
country_name,Camboja
country_name,Republica da Irlanda
country_name,Brunei
country_name,Sao Tome e Principe
country_name,Tanzania
country_name,Catalunha
country_name,Argelia
country_name,Catar
country_name,Espanha
country_name,Oma
country_name,Uganda
country_name,Bolivia
country_name,Micronesia
country_name,Nauru
country_name,Portugal
country_name,Tarsis
country_name,Canada
country_name,Suica
country_name,Republica Centro-Africana
country_name,Eslovenia
country_name,Senegal
country_name,Granada
country_name,Reino da Dinamarca
country_name,Samoa
country_name,Reino Unido
country_name,Franca
country_name,Suecia
country_name,Malaca Portuguesa
country_name,Andorra
country_name,Costa Rica
country_name,Colombia
country_name,Mocambique
country_name,Iraque
country_name,Comores
country_name,Kosovo
country_name,Islandia
country_name,Papua-Nova Guine
country_name,Etiopia
country_name,Bahrein
country_name,Marianas Setentrionais
country_name,Siria
country_name,Tailandia
country_name,Cuba
country_name,Gabao
country_name,Galiza
country_name,Pais de Gales
country_name,Djibouti
country_name,Grecia
country_name,Marrocos
country_name,Liechtenstein
country_name,Paises Baixos
country_name,Iemen
country_name,Turquemenistao
country_name,Hungria
country_name,Chile
country_name,Sao Martinho
country_name,Iberia
country_name,Guiana
country_name,Liberia
country_name,Santa Lucia
country_name,Uruguai
country_name,Finlandia
country_name,Belgica
country_name,El Salvador
country_name,Namibia
country_name,Angola
country_name,Taiwan
country_name,Borneu do Norte britanico
country_name,Letonia
country_name,Quirguistao
country_name,Nicaragua
country_name,Trindade e Tobago
country_name,Mali
country_name,Albania
country_name,India
country_name,Venezuela
country_name,Israel
country_name,Transnistria
country_name,Guine-Bissau
country_name,Montenegro
country_name,Bangladesh
country_name,Protetorado Frances em Marrocos
country_name,Russia
country_name,Tunisia
country_name,Brasil
country_name,Butao
country_name,Madagascar
country_name,Guatemala
country_name,Republica Dominicana
country_name,Vietname
country_name,Paquistao
country_name,Myanmar
country_name,Emirados Arabes Unidos
country_name,Egito
country_name,Jordania
country_name,Australia
country_name,Irao
country_name,Peru
country_name,Quenia
country_name,Costa do Marfim
country_name,Armenia
country_name,Tuvalu
country_name,Italia
country_name,Togo
country_name,Zimbabue
country_name,Dinamarca
country_name,Honduras
country_name,Ilhas Marshall
country_name,Malasia
country_name,Sudao do Sul
country_name,Republica Democratica do Congo
country_name,Chade
country_name,China
country_name,Coreia do Norte
country_name,Croacia
country_name,Seychelles
country_name,Gambia
country_name,Nigeria
country_name,Estados Unidos
country_name,Estonia
country_name,Ilhas Cook
country_name,Escocia
country_name,Fiji
country_name,Afeganistao
country_name,Benim
country_name,Chequia
country_name,Eritreia
country_name,Malta
country_name,Palau
country_name,Libano
country_name,Paraguai
country_name,Singapura
country_name,Serra Leoa
country_name,Japao
country_name,Argentina
country_name,Turquia
country_name,Zambia
country_name,Malawi
short_film_name,Carlitinhos
short_film_name,Amblin'
short_film_name,A Convict's Sacrifice
short_film_name,A Trap for Santa Claus
short_film_name,Mates and Models
short_film_name,O prado de Bezhin
short_film_name,Smile Pinki
short_film_name,The Sawmill
short_film_name,Luke
short_film_name,DeKalb Elementary
short_film_name,Fate's Turning
short_film_name,Enoch Arden
short_film_name,Ballade der Batrachia
short_film_name,Napoleon's Barber
short_film_name,How It Feels to Be Run Over
short_film_name,For Two Pins
short_film_name,Women - for America, for the World
short_film_name,Angel and Big Joe
short_film_name,La Guerre de Cuba et l'Explosion du Maine a La Havane
short_film_name,The Pawnshop
short_film_name,Swing Your Partners
short_film_name,Cupid's Rival
short_film_name,The Guilty Ones
short_film_name,Anita na Praia
short_film_name,The God Within
short_film_name,The Midnight Sons
short_film_name,The Floorwalker
short_film_name,That's Him
short_film_name,A Jitney Elopement
short_film_name,Be My Wife
short_film_name,Ett hemligt giftermal
short_film_name,Stutterer
short_film_name,The Friend of the Family
short_film_name,The Smugglers of Santa Cruz
short_film_name,Love You More
short_film_name,Dreamy Knights
short_film_name,Timecode
short_film_name,His Sister-In-Law
short_film_name,Khaneh siah ast
short_film_name,Pinched
short_film_name,The Goat
short_film_name,Casals Conducts: 1964
short_film_name,Salvador Dali
short_film_name,Swat the Crook
short_film_name,Lady Blue Shanghai
short_film_name,Old Offenders
short_film_name,The Foreman of the Jury
short_film_name,The Fugitive
short_film_name,The Country Lovers
short_film_name,Dareka no Manazashi
short_film_name,The Eleven O'Clock
short_film_name,Wish 143
short_film_name,The New Neighbor
short_film_name,L'arc-en-ciel
short_film_name,Eating Too Fast
short_film_name,He Would a Hunting Go
short_film_name,The Speed Kings
short_film_name,Mamasuncion
short_film_name,Camille
short_film_name,Her Dormant Love
short_film_name,Uma Historia de Futebol
short_film_name,Alice in the Big League
short_film_name,The Messenger
short_film_name,Under a Shadow
short_film_name,A Voice from the Deep
short_film_name,The Millionaire Paupers
short_film_name,O Dia em Que Dorival Encarou a Guarda
short_film_name,Manon sur le bitume
short_film_name,The Kid
short_film_name,When a Man Loves
short_film_name,Bloodhounds of the North
short_film_name,Amelia & Duarte
short_film_name,Pressing Business
short_film_name,Hotel Hell Vacation
short_film_name,Nice and Friendly
short_film_name,Incident in New Baghdad
short_film_name,The Rose of Kentucky
short_film_name,Newark Athlete
short_film_name,Jobson's Luck
short_film_name,Czechoslovakia 1968
short_film_name,La Riviere du hibou
short_film_name,A Terrible Tragedy
short_film_name,Gertie the Dinosaur
short_film_name,The Hindoo Dagger
short_film_name,Collars and Cuffs
short_film_name,Almost an Actress
short_film_name,O Intervalo (filme de 2021)
short_film_name,Stick Around
short_film_name,The Revenue Man and the Girl
short_film_name,The Idle Class
short_film_name,Hot Stuff
short_film_name,The Banker's Daughters
short_film_name,A Night of Thrills
short_film_name,Luke's Lost Lamb
short_film_name,In a Hempen Bag
short_film_name,Nine from Little Rock
short_film_name,Alice the Piper
short_film_name,A Change of Heart
short_film_name,Step Lively
short_film_name,The Rivals
short_film_name,A Pueblo Legend
short_film_name,The Master Key
short_film_name,The New York Hat
short_film_name,Shok
